"Id","SleepDay","TotalSleepRecords","TotalMinutesAsleep","TotalTimeInBed","period"
2026352035,"2016-03-22 00:00:00",2,520.0,545.0,"march-april"
2026352035,"2016-03-23 00:00:00",2,562.0,600.0,"march-april"
2026352035,"2016-03-24 00:00:00",2,531.0,567.0,"march-april"
2026352035,"2016-03-25 00:00:00",2,495.0,526.0,"march-april"
2026352035,"2016-03-26 00:00:00",2,579.0,621.0,"march-april"
2026352035,"2016-03-27 00:00:00",2,545.0,581.0,"march-april"
2026352035,"2016-03-28 00:00:00",2,510.0,539.0,"march-april"
2026352035,"2016-03-29 00:00:00",2,482.0,521.0,"march-april"
2026352035,"2016-03-30 00:00:00",2,468.0,520.0,"march-april"
2026352035,"2016-03-31 00:00:00",2,524.0,555.0,"march-april"
2026352035,"2016-04-01 00:00:00",2,514.0,544.0,"march-april"
2026352035,"2016-04-02 00:00:00",2,528.0,575.0,"march-april"
2026352035,"2016-04-03 00:00:00",2,534.0,605.0,"march-april"
2026352035,"2016-04-04 00:00:00",2,493.0,533.0,"march-april"
2026352035,"2016-04-05 00:00:00",2,531.0,571.0,"march-april"
2026352035,"2016-04-06 00:00:00",2,465.0,517.0,"march-april"
2026352035,"2016-04-07 00:00:00",2,540.0,597.0,"march-april"
2026352035,"2016-04-08 00:00:00",2,521.0,548.0,"march-april"
2026352035,"2016-04-09 00:00:00",2,490.0,555.0,"march-april"
2026352035,"2016-04-10 00:00:00",2,504.0,556.0,"march-april"
2026352035,"2016-04-11 00:00:00",2,541.0,582.0,"march-april"
2026352035,"2016-04-12 00:00:00",1,341.0,354.0,"march-april"
2347167796,"2016-03-11 00:00:00",1,14.0,17.0,"march-april"
2347167796,"2016-03-12 00:00:00",2,474.0,499.0,"march-april"
2347167796,"2016-03-13 00:00:00",2,577.0,620.0,"march-april"
2347167796,"2016-03-14 00:00:00",2,432.0,468.0,"march-april"
2347167796,"2016-03-15 00:00:00",2,501.0,565.0,"march-april"
2347167796,"2016-03-16 00:00:00",3,446.0,475.0,"march-april"
2347167796,"2016-03-17 00:00:00",1,383.0,413.0,"march-april"
2347167796,"2016-03-18 00:00:00",2,435.0,536.0,"march-april"
2347167796,"2016-03-19 00:00:00",2,250.0,261.0,"march-april"
2347167796,"2016-03-20 00:00:00",2,529.0,585.0,"march-april"
2347167796,"2016-03-21 00:00:00",2,452.0,484.0,"march-april"
2347167796,"2016-03-22 00:00:00",2,488.0,523.0,"march-april"
2347167796,"2016-03-23 00:00:00",2,449.0,493.0,"march-april"
2347167796,"2016-03-24 00:00:00",2,435.0,491.0,"march-april"
2347167796,"2016-03-25 00:00:00",1,313.0,350.0,"march-april"
2347167796,"2016-03-27 00:00:00",1,107.0,144.0,"march-april"
2347167796,"2016-03-28 00:00:00",2,516.0,560.0,"march-april"
2347167796,"2016-03-29 00:00:00",2,422.0,472.0,"march-april"
2347167796,"2016-03-30 00:00:00",2,472.0,514.0,"march-april"
2347167796,"2016-03-31 00:00:00",2,517.0,577.0,"march-april"
2347167796,"2016-04-01 00:00:00",1,374.0,391.0,"march-april"
2347167796,"2016-04-02 00:00:00",2,417.0,463.0,"march-april"
2347167796,"2016-04-03 00:00:00",2,579.0,625.0,"march-april"
2347167796,"2016-04-04 00:00:00",2,472.0,525.0,"march-april"
2347167796,"2016-04-05 00:00:00",2,395.0,448.0,"march-april"
2347167796,"2016-04-06 00:00:00",1,372.0,425.0,"march-april"
2347167796,"2016-04-07 00:00:00",1,70.0,76.0,"march-april"
2347167796,"2016-04-08 00:00:00",1,380.0,405.0,"march-april"
2347167796,"2016-04-09 00:00:00",1,18.0,21.0,"march-april"
2347167796,"2016-04-10 00:00:00",2,601.0,659.0,"march-april"
2347167796,"2016-04-11 00:00:00",1,353.0,399.0,"march-april"
3977333714,"2016-03-13 00:00:00",1,304.0,475.0,"march-april"
3977333714,"2016-03-14 00:00:00",2,303.0,421.0,"march-april"
3977333714,"2016-03-15 00:00:00",2,257.0,387.0,"march-april"
3977333714,"2016-03-16 00:00:00",2,208.0,321.0,"march-april"
3977333714,"2016-03-17 00:00:00",1,356.0,481.0,"march-april"
3977333714,"2016-04-01 00:00:00",1,297.0,430.0,"march-april"
3977333714,"2016-04-02 00:00:00",1,199.0,290.0,"march-april"
3977333714,"2016-04-03 00:00:00",1,222.0,359.0,"march-april"
3977333714,"2016-04-04 00:00:00",1,205.0,374.0,"march-april"
3977333714,"2016-04-05 00:00:00",1,378.0,486.0,"march-april"
3977333714,"2016-04-06 00:00:00",1,296.0,426.0,"march-april"
3977333714,"2016-04-07 00:00:00",1,221.0,405.0,"march-april"
3977333714,"2016-04-08 00:00:00",1,305.0,480.0,"march-april"
3977333714,"2016-04-09 00:00:00",1,273.0,418.0,"march-april"
3977333714,"2016-04-10 00:00:00",1,293.0,452.0,"march-april"
3977333714,"2016-04-11 00:00:00",1,282.0,415.0,"march-april"
4020332650,"2016-03-12 00:00:00",2,384.0,429.0,"march-april"
4020332650,"2016-03-13 00:00:00",2,505.0,533.0,"march-april"
4020332650,"2016-03-14 00:00:00",1,265.0,290.0,"march-april"
4020332650,"2016-03-15 00:00:00",1,331.0,341.0,"march-april"
4020332650,"2016-03-16 00:00:00",1,459.0,493.0,"march-april"
4020332650,"2016-03-17 00:00:00",1,374.0,407.0,"march-april"
4020332650,"2016-03-30 00:00:00",2,366.0,387.0,"march-april"
4020332650,"2016-03-31 00:00:00",1,259.0,268.0,"march-april"
4020332650,"2016-04-01 00:00:00",3,429.0,450.0,"march-april"
4020332650,"2016-04-02 00:00:00",2,499.0,508.0,"march-april"
4020332650,"2016-04-03 00:00:00",2,387.0,399.0,"march-april"
4020332650,"2016-04-04 00:00:00",1,463.0,478.0,"march-april"
4020332650,"2016-04-06 00:00:00",1,245.0,257.0,"march-april"
4020332650,"2016-04-10 00:00:00",1,74.0,74.0,"march-april"
4020332650,"2016-04-11 00:00:00",2,426.0,438.0,"march-april"
4319703577,"2016-03-11 00:00:00",1,78.0,90.0,"march-april"
4319703577,"2016-03-12 00:00:00",2,503.0,517.0,"march-april"
4319703577,"2016-03-13 00:00:00",1,364.0,376.0,"march-april"
4319703577,"2016-03-14 00:00:00",1,94.0,100.0,"march-april"
4319703577,"2016-03-15 00:00:00",2,458.0,490.0,"march-april"
4319703577,"2016-03-16 00:00:00",2,496.0,531.0,"march-april"
4319703577,"2016-03-17 00:00:00",2,495.0,529.0,"march-april"
4319703577,"2016-03-18 00:00:00",2,481.0,503.0,"march-april"
4319703577,"2016-03-19 00:00:00",2,473.0,505.0,"march-april"
4319703577,"2016-03-20 00:00:00",2,450.0,488.0,"march-april"
4319703577,"2016-03-21 00:00:00",1,428.0,466.0,"march-april"
4319703577,"2016-03-22 00:00:00",1,63.0,64.0,"march-april"
4319703577,"2016-03-23 00:00:00",2,490.0,510.0,"march-april"
4319703577,"2016-03-24 00:00:00",2,412.0,429.0,"march-april"
4319703577,"2016-03-25 00:00:00",2,519.0,558.0,"march-april"
4319703577,"2016-03-26 00:00:00",1,489.0,517.0,"march-april"
4319703577,"2016-03-27 00:00:00",2,583.0,613.0,"march-april"
4319703577,"2016-03-28 00:00:00",2,498.0,525.0,"march-april"
4319703577,"2016-03-29 00:00:00",3,514.0,547.0,"march-april"
4319703577,"2016-03-30 00:00:00",1,454.0,478.0,"march-april"
4319703577,"2016-03-31 00:00:00",1,38.0,47.0,"march-april"
4319703577,"2016-04-01 00:00:00",3,466.0,484.0,"march-april"
4319703577,"2016-04-02 00:00:00",2,529.0,543.0,"march-april"
4319703577,"2016-04-03 00:00:00",2,568.0,583.0,"march-april"
4319703577,"2016-04-04 00:00:00",2,473.0,505.0,"march-april"
4319703577,"2016-04-05 00:00:00",2,507.0,544.0,"march-april"
4319703577,"2016-04-06 00:00:00",3,901.0,959.0,"march-april"
4319703577,"2016-04-07 00:00:00",1,433.0,450.0,"march-april"
4445114986,"2016-03-12 00:00:00",2,361.0,381.0,"march-april"
4445114986,"2016-03-13 00:00:00",1,348.0,353.0,"march-april"
4445114986,"2016-03-15 00:00:00",2,487.0,560.0,"march-april"
4445114986,"2016-03-16 00:00:00",3,388.0,418.0,"march-april"
4445114986,"2016-03-17 00:00:00",1,217.0,231.0,"march-april"
4445114986,"2016-03-19 00:00:00",1,137.0,156.0,"march-april"
4445114986,"2016-03-20 00:00:00",2,539.0,552.0,"march-april"
4445114986,"2016-03-21 00:00:00",1,195.0,209.0,"march-april"
4445114986,"2016-03-22 00:00:00",2,344.0,360.0,"march-april"
4445114986,"2016-03-24 00:00:00",2,380.0,405.0,"march-april"
4445114986,"2016-03-25 00:00:00",2,325.0,344.0,"march-april"
4445114986,"2016-03-26 00:00:00",1,156.0,166.0,"march-april"
4445114986,"2016-03-27 00:00:00",1,318.0,325.0,"march-april"
4445114986,"2016-03-28 00:00:00",2,359.0,376.0,"march-april"
4445114986,"2016-03-29 00:00:00",2,442.0,478.0,"march-april"
4445114986,"2016-03-31 00:00:00",2,360.0,416.0,"march-april"
4445114986,"2016-04-01 00:00:00",1,311.0,337.0,"march-april"
4445114986,"2016-04-02 00:00:00",1,469.0,495.0,"march-april"
4445114986,"2016-04-05 00:00:00",1,465.0,496.0,"march-april"
4445114986,"2016-04-06 00:00:00",1,431.0,450.0,"march-april"
4445114986,"2016-04-07 00:00:00",1,262.0,268.0,"march-april"
4445114986,"2016-04-08 00:00:00",2,219.0,233.0,"march-april"
4445114986,"2016-04-09 00:00:00",3,391.0,443.0,"march-april"
4445114986,"2016-04-10 00:00:00",2,347.0,369.0,"march-april"
4445114986,"2016-04-11 00:00:00",2,395.0,428.0,"march-april"
4445114986,"2016-04-12 00:00:00",1,308.0,332.0,"march-april"
4558609924,"2016-03-30 00:00:00",2,96.0,101.0,"march-april"
4558609924,"2016-03-31 00:00:00",1,190.0,191.0,"march-april"
4558609924,"2016-04-02 00:00:00",1,86.0,87.0,"march-april"
4558609924,"2016-04-03 00:00:00",1,274.0,277.0,"march-april"
4702921684,"2016-03-11 00:00:00",1,119.0,124.0,"march-april"
4702921684,"2016-03-12 00:00:00",2,454.0,478.0,"march-april"
4702921684,"2016-03-13 00:00:00",2,281.0,288.0,"march-april"
4702921684,"2016-03-14 00:00:00",2,437.0,457.0,"march-april"
4702921684,"2016-03-15 00:00:00",2,453.0,467.0,"march-april"
4702921684,"2016-03-16 00:00:00",2,461.0,488.0,"march-april"
4702921684,"2016-03-17 00:00:00",2,446.0,464.0,"march-april"
4702921684,"2016-03-18 00:00:00",1,345.0,364.0,"march-april"
4702921684,"2016-03-21 00:00:00",1,99.0,102.0,"march-april"
4702921684,"2016-03-22 00:00:00",2,428.0,458.0,"march-april"
4702921684,"2016-03-23 00:00:00",2,429.0,466.0,"march-april"
4702921684,"2016-03-24 00:00:00",2,428.0,460.0,"march-april"
4702921684,"2016-03-25 00:00:00",2,458.0,487.0,"march-april"
4702921684,"2016-03-26 00:00:00",2,404.0,418.0,"march-april"
4702921684,"2016-03-27 00:00:00",4,563.0,598.0,"march-april"
4702921684,"2016-03-28 00:00:00",2,419.0,426.0,"march-april"
4702921684,"2016-03-29 00:00:00",2,413.0,430.0,"march-april"
4702921684,"2016-03-30 00:00:00",2,421.0,455.0,"march-april"
4702921684,"2016-03-31 00:00:00",2,420.0,425.0,"march-april"
4702921684,"2016-04-01 00:00:00",2,454.0,475.0,"march-april"
4702921684,"2016-04-02 00:00:00",2,538.0,566.0,"march-april"
4702921684,"2016-04-03 00:00:00",2,558.0,586.0,"march-april"
4702921684,"2016-04-04 00:00:00",2,419.0,444.0,"march-april"
4702921684,"2016-04-05 00:00:00",2,404.0,440.0,"march-april"
4702921684,"2016-04-06 00:00:00",2,454.0,475.0,"march-april"
4702921684,"2016-04-07 00:00:00",2,448.0,460.0,"march-april"
4702921684,"2016-04-08 00:00:00",1,345.0,370.0,"march-april"
4702921684,"2016-04-09 00:00:00",2,425.0,588.0,"march-april"
4702921684,"2016-04-10 00:00:00",3,533.0,555.0,"march-april"
4702921684,"2016-04-11 00:00:00",2,329.0,334.0,"march-april"
5553957443,"2016-03-12 00:00:00",3,707.0,760.0,"march-april"
5553957443,"2016-03-13 00:00:00",3,756.0,833.0,"march-april"
5553957443,"2016-03-14 00:00:00",2,273.0,313.0,"march-april"
5553957443,"2016-03-15 00:00:00",2,378.0,429.0,"march-april"
5553957443,"2016-03-16 00:00:00",1,319.0,365.0,"march-april"
5553957443,"2016-03-17 00:00:00",2,311.0,336.0,"march-april"
5553957443,"2016-03-18 00:00:00",1,105.0,115.0,"march-april"
5553957443,"2016-03-21 00:00:00",1,144.0,154.0,"march-april"
5553957443,"2016-03-22 00:00:00",1,526.0,575.0,"march-april"
5553957443,"2016-03-23 00:00:00",1,249.0,297.0,"march-april"
5553957443,"2016-03-24 00:00:00",1,364.0,418.0,"march-april"
5553957443,"2016-03-25 00:00:00",1,607.0,675.0,"march-april"
5553957443,"2016-03-26 00:00:00",3,348.0,377.0,"march-april"
5553957443,"2016-03-27 00:00:00",4,665.0,752.0,"march-april"
5553957443,"2016-03-28 00:00:00",2,613.0,688.0,"march-april"
5553957443,"2016-03-29 00:00:00",1,314.0,358.0,"march-april"
5553957443,"2016-03-30 00:00:00",2,360.0,407.0,"march-april"
5553957443,"2016-03-31 00:00:00",2,351.0,395.0,"march-april"
5553957443,"2016-04-01 00:00:00",1,337.0,360.0,"march-april"
5553957443,"2016-04-02 00:00:00",2,791.0,903.0,"march-april"
5553957443,"2016-04-03 00:00:00",2,742.0,840.0,"march-april"
5553957443,"2016-04-04 00:00:00",2,413.0,453.0,"march-april"
5553957443,"2016-04-05 00:00:00",2,340.0,383.0,"march-april"
5553957443,"2016-04-06 00:00:00",2,385.0,405.0,"march-april"
5553957443,"2016-04-07 00:00:00",2,338.0,376.0,"march-april"
5553957443,"2016-04-08 00:00:00",1,379.0,417.0,"march-april"
5553957443,"2016-04-09 00:00:00",2,619.0,686.0,"march-april"
5553957443,"2016-04-10 00:00:00",2,629.0,709.0,"march-april"
5553957443,"2016-04-11 00:00:00",2,428.0,459.0,"march-april"
5553957443,"2016-04-12 00:00:00",1,346.0,364.0,"march-april"
5577150313,"2016-03-11 00:00:00",1,156.0,161.0,"march-april"
5577150313,"2016-03-12 00:00:00",3,523.0,562.0,"march-april"
5577150313,"2016-03-13 00:00:00",2,419.0,444.0,"march-april"
5577150313,"2016-03-14 00:00:00",2,364.0,373.0,"march-april"
5577150313,"2016-03-15 00:00:00",3,470.0,503.0,"march-april"
5577150313,"2016-03-16 00:00:00",3,446.0,466.0,"march-april"
5577150313,"2016-03-17 00:00:00",2,432.0,457.0,"march-april"
5577150313,"2016-03-18 00:00:00",2,421.0,438.0,"march-april"
5577150313,"2016-03-19 00:00:00",3,366.0,382.0,"march-april"
5577150313,"2016-03-20 00:00:00",3,619.0,655.0,"march-april"
5577150313,"2016-03-21 00:00:00",1,387.0,415.0,"march-april"
5577150313,"2016-03-22 00:00:00",1,99.0,109.0,"march-april"
5577150313,"2016-03-23 00:00:00",3,511.0,561.0,"march-april"
5577150313,"2016-03-24 00:00:00",2,390.0,414.0,"march-april"
5577150313,"2016-03-25 00:00:00",3,430.0,441.0,"march-april"
5577150313,"2016-03-26 00:00:00",3,438.0,471.0,"march-april"
5577150313,"2016-03-27 00:00:00",2,330.0,346.0,"march-april"
5577150313,"2016-03-28 00:00:00",3,484.0,517.0,"march-april"
5577150313,"2016-03-29 00:00:00",2,451.0,478.0,"march-april"
5577150313,"2016-03-30 00:00:00",3,432.0,449.0,"march-april"
5577150313,"2016-03-31 00:00:00",2,426.0,456.0,"march-april"
5577150313,"2016-04-01 00:00:00",2,435.0,447.0,"march-april"
5577150313,"2016-04-02 00:00:00",3,355.0,385.0,"march-april"
5577150313,"2016-04-03 00:00:00",2,389.0,415.0,"march-april"
5577150313,"2016-04-04 00:00:00",2,435.0,458.0,"march-april"
5577150313,"2016-04-05 00:00:00",3,390.0,414.0,"march-april"
5577150313,"2016-04-06 00:00:00",2,393.0,420.0,"march-april"
5577150313,"2016-04-07 00:00:00",2,454.0,496.0,"march-april"
5577150313,"2016-04-08 00:00:00",2,451.0,461.0,"march-april"
5577150313,"2016-04-09 00:00:00",4,499.0,516.0,"march-april"
5577150313,"2016-04-10 00:00:00",2,412.0,442.0,"march-april"
5577150313,"2016-04-11 00:00:00",1,312.0,333.0,"march-april"
6117666160,"2016-03-11 00:00:00",1,78.0,78.0,"march-april"
6117666160,"2016-03-12 00:00:00",3,644.0,668.0,"march-april"
6117666160,"2016-03-13 00:00:00",1,117.0,120.0,"march-april"
6117666160,"2016-03-14 00:00:00",2,626.0,670.0,"march-april"
6117666160,"2016-03-15 00:00:00",2,482.0,501.0,"march-april"
6117666160,"2016-03-16 00:00:00",6,606.0,655.0,"march-april"
6117666160,"2016-03-17 00:00:00",2,638.0,653.0,"march-april"
6117666160,"2016-03-18 00:00:00",3,598.0,654.0,"march-april"
6117666160,"2016-03-19 00:00:00",4,611.0,644.0,"march-april"
6117666160,"2016-03-20 00:00:00",2,535.0,551.0,"march-april"
6117666160,"2016-03-21 00:00:00",2,493.0,509.0,"march-april"
6117666160,"2016-03-22 00:00:00",1,376.0,404.0,"march-april"
6117666160,"2016-03-23 00:00:00",3,484.0,542.0,"march-april"
6117666160,"2016-03-24 00:00:00",3,699.0,790.0,"march-april"
6117666160,"2016-03-25 00:00:00",1,510.0,523.0,"march-april"
6117666160,"2016-03-26 00:00:00",3,436.0,467.0,"march-april"
6117666160,"2016-03-27 00:00:00",2,496.0,515.0,"march-april"
6117666160,"2016-03-28 00:00:00",1,21.0,33.0,"march-april"
6117666160,"2016-03-29 00:00:00",2,556.0,573.0,"march-april"
6117666160,"2016-03-30 00:00:00",2,101.0,106.0,"march-april"
6117666160,"2016-03-31 00:00:00",3,589.0,609.0,"march-april"
6117666160,"2016-04-01 00:00:00",3,558.0,586.0,"march-april"
6117666160,"2016-04-02 00:00:00",1,454.0,466.0,"march-april"
6117666160,"2016-04-05 00:00:00",1,61.0,64.0,"march-april"
6117666160,"2016-04-06 00:00:00",2,523.0,561.0,"march-april"
6117666160,"2016-04-07 00:00:00",1,499.0,514.0,"march-april"
6117666160,"2016-04-09 00:00:00",3,435.0,467.0,"march-april"
6775888955,"2016-03-11 00:00:00",1,66.0,75.0,"march-april"
6775888955,"2016-03-12 00:00:00",1,421.0,438.0,"march-april"
6775888955,"2016-03-13 00:00:00",1,37.0,39.0,"march-april"
6775888955,"2016-03-14 00:00:00",1,590.0,643.0,"march-april"
6775888955,"2016-03-15 00:00:00",1,119.0,122.0,"march-april"
6775888955,"2016-03-18 00:00:00",1,278.0,300.0,"march-april"
6775888955,"2016-03-19 00:00:00",1,387.0,403.0,"march-april"
6775888955,"2016-03-21 00:00:00",1,364.0,405.0,"march-april"
6775888955,"2016-03-25 00:00:00",1,36.0,69.0,"march-april"
6775888955,"2016-03-26 00:00:00",1,332.0,359.0,"march-april"
6775888955,"2016-03-27 00:00:00",1,363.0,407.0,"march-april"
6775888955,"2016-03-28 00:00:00",3,454.0,504.0,"march-april"
6775888955,"2016-03-31 00:00:00",1,290.0,307.0,"march-april"
6775888955,"2016-04-01 00:00:00",1,10.0,13.0,"march-april"
6775888955,"2016-04-02 00:00:00",1,429.0,452.0,"march-april"
6775888955,"2016-04-06 00:00:00",2,441.0,467.0,"march-april"
6775888955,"2016-04-07 00:00:00",3,275.0,291.0,"march-april"
6962181067,"2016-03-11 00:00:00",1,23.0,31.0,"march-april"
6962181067,"2016-03-12 00:00:00",2,522.0,533.0,"march-april"
6962181067,"2016-03-13 00:00:00",2,483.0,497.0,"march-april"
6962181067,"2016-03-14 00:00:00",2,431.0,461.0,"march-april"
6962181067,"2016-03-15 00:00:00",2,360.0,389.0,"march-april"
6962181067,"2016-03-16 00:00:00",1,329.0,354.0,"march-april"
6962181067,"2016-03-17 00:00:00",2,381.0,395.0,"march-april"
6962181067,"2016-03-18 00:00:00",1,421.0,454.0,"march-april"
6962181067,"2016-03-19 00:00:00",2,487.0,499.0,"march-april"
6962181067,"2016-03-20 00:00:00",2,449.0,467.0,"march-april"
6962181067,"2016-03-21 00:00:00",1,427.0,434.0,"march-april"
6962181067,"2016-03-22 00:00:00",3,537.0,550.0,"march-april"
6962181067,"2016-03-23 00:00:00",2,563.0,568.0,"march-april"
6962181067,"2016-03-24 00:00:00",2,461.0,474.0,"march-april"
6962181067,"2016-03-25 00:00:00",1,503.0,528.0,"march-april"
6962181067,"2016-03-26 00:00:00",1,476.0,487.0,"march-april"
6962181067,"2016-03-27 00:00:00",2,516.0,552.0,"march-april"
6962181067,"2016-03-28 00:00:00",3,515.0,538.0,"march-april"
6962181067,"2016-03-29 00:00:00",1,397.0,399.0,"march-april"
6962181067,"2016-03-30 00:00:00",2,418.0,432.0,"march-april"
6962181067,"2016-03-31 00:00:00",3,509.0,529.0,"march-april"
6962181067,"2016-04-01 00:00:00",1,527.0,532.0,"march-april"
6962181067,"2016-04-02 00:00:00",1,399.0,415.0,"march-april"
6962181067,"2016-04-03 00:00:00",2,537.0,568.0,"march-april"
6962181067,"2016-04-04 00:00:00",1,363.0,399.0,"march-april"
6962181067,"2016-04-05 00:00:00",2,358.0,406.0,"march-april"
6962181067,"2016-04-06 00:00:00",2,474.0,502.0,"march-april"
6962181067,"2016-04-07 00:00:00",2,423.0,430.0,"march-april"
6962181067,"2016-04-08 00:00:00",1,402.0,403.0,"march-april"
6962181067,"2016-04-09 00:00:00",2,434.0,455.0,"march-april"
6962181067,"2016-04-10 00:00:00",2,414.0,429.0,"march-april"
6962181067,"2016-04-11 00:00:00",1,393.0,406.0,"march-april"
6962181067,"2016-04-12 00:00:00",1,366.0,387.0,"march-april"
7007744171,"2016-03-14 00:00:00",1,87.0,88.0,"march-april"
7007744171,"2016-03-24 00:00:00",1,62.0,67.0,"march-april"
7007744171,"2016-03-26 00:00:00",1,57.0,64.0,"march-april"
7007744171,"2016-03-30 00:00:00",1,63.0,64.0,"march-april"
7007744171,"2016-04-02 00:00:00",1,56.0,69.0,"march-april"
7007744171,"2016-04-03 00:00:00",1,70.0,73.0,"march-april"
7007744171,"2016-04-05 00:00:00",1,66.0,70.0,"march-april"
7007744171,"2016-04-07 00:00:00",1,63.0,66.0,"march-april"
7086361926,"2016-03-12 00:00:00",2,557.0,567.0,"march-april"
7086361926,"2016-03-13 00:00:00",1,20.0,23.0,"march-april"
