"Id","ActivityHour","StepTotal","period"
1503960366,"2016-03-16 01:00:00",0,"march-april"
1503960366,"2016-03-16 02:00:00",4,"march-april"
1503960366,"2016-03-16 03:00:00",0,"march-april"
1503960366,"2016-03-16 04:00:00",0,"march-april"
1503960366,"2016-03-16 05:00:00",0,"march-april"
1503960366,"2016-03-16 06:00:00",0,"march-april"
1503960366,"2016-03-16 07:00:00",70,"march-april"
1503960366,"2016-03-16 08:00:00",490,"march-april"
1503960366,"2016-03-16 09:00:00",1513,"march-april"
1503960366,"2016-03-16 10:00:00",224,"march-april"
1503960366,"2016-03-16 11:00:00",874,"march-april"
1503960366,"2016-03-16 12:00:00",1451,"march-april"
1503960366,"2016-03-16 13:00:00",329,"march-april"
1503960366,"2016-03-16 14:00:00",61,"march-april"
1503960366,"2016-03-16 15:00:00",456,"march-april"
1503960366,"2016-03-16 16:00:00",775,"march-april"
1503960366,"2016-03-16 17:00:00",1446,"march-april"
1503960366,"2016-03-16 18:00:00",2407,"march-april"
1503960366,"2016-03-16 19:00:00",103,"march-april"
1503960366,"2016-03-16 20:00:00",447,"march-april"
1503960366,"2016-03-16 21:00:00",2120,"march-april"
1503960366,"2016-03-16 22:00:00",273,"march-april"
1503960366,"2016-03-16 23:00:00",455,"march-april"
1503960366,"2016-03-17 00:00:00",263,"march-april"
1503960366,"2016-03-17 01:00:00",23,"march-april"
1503960366,"2016-03-17 02:00:00",7,"march-april"
1503960366,"2016-03-17 03:00:00",0,"march-april"
1503960366,"2016-03-17 04:00:00",0,"march-april"
1503960366,"2016-03-17 05:00:00",0,"march-april"
1503960366,"2016-03-17 06:00:00",0,"march-april"
1503960366,"2016-03-17 07:00:00",6,"march-april"
1503960366,"2016-03-17 08:00:00",210,"march-april"
1503960366,"2016-03-17 09:00:00",1530,"march-april"
1503960366,"2016-03-17 10:00:00",124,"march-april"
1503960366,"2016-03-17 11:00:00",1803,"march-april"
1503960366,"2016-03-17 12:00:00",113,"march-april"
1503960366,"2016-03-17 13:00:00",1124,"march-april"
1503960366,"2016-03-17 14:00:00",1160,"march-april"
1503960366,"2016-03-17 15:00:00",409,"march-april"
1503960366,"2016-03-17 16:00:00",631,"march-april"
1503960366,"2016-03-17 17:00:00",203,"march-april"
1503960366,"2016-03-17 18:00:00",396,"march-april"
1503960366,"2016-03-17 19:00:00",2165,"march-april"
1503960366,"2016-03-17 20:00:00",147,"march-april"
1503960366,"2016-03-17 21:00:00",2016,"march-april"
1503960366,"2016-03-17 22:00:00",521,"march-april"
1503960366,"2016-03-17 23:00:00",1176,"march-april"
1503960366,"2016-03-18 00:00:00",389,"march-april"
1503960366,"2016-03-18 01:00:00",112,"march-april"
1503960366,"2016-03-18 02:00:00",0,"march-april"
1503960366,"2016-03-18 03:00:00",0,"march-april"
1503960366,"2016-03-18 04:00:00",0,"march-april"
1503960366,"2016-03-18 05:00:00",4,"march-april"
1503960366,"2016-03-18 06:00:00",19,"march-april"
1503960366,"2016-03-18 07:00:00",0,"march-april"
1503960366,"2016-03-18 08:00:00",172,"march-april"
1503960366,"2016-03-18 09:00:00",1952,"march-april"
1503960366,"2016-03-18 10:00:00",279,"march-april"
1503960366,"2016-03-18 11:00:00",207,"march-april"
1503960366,"2016-03-18 12:00:00",145,"march-april"
1503960366,"2016-03-18 13:00:00",242,"march-april"
1503960366,"2016-03-18 14:00:00",3160,"march-april"
1503960366,"2016-03-18 15:00:00",852,"march-april"
1503960366,"2016-03-18 16:00:00",270,"march-april"
1503960366,"2016-03-18 17:00:00",24,"march-april"
1503960366,"2016-03-18 18:00:00",444,"march-april"
1503960366,"2016-03-18 19:00:00",4093,"march-april"
1503960366,"2016-03-18 20:00:00",1445,"march-april"
1503960366,"2016-03-18 21:00:00",332,"march-april"
1503960366,"2016-03-18 22:00:00",13,"march-april"
1503960366,"2016-03-18 23:00:00",390,"march-april"
1503960366,"2016-03-19 00:00:00",138,"march-april"
1503960366,"2016-03-19 01:00:00",0,"march-april"
1503960366,"2016-03-19 02:00:00",0,"march-april"
1503960366,"2016-03-19 03:00:00",10,"march-april"
1503960366,"2016-03-19 04:00:00",0,"march-april"
1503960366,"2016-03-19 05:00:00",0,"march-april"
1503960366,"2016-03-19 06:00:00",0,"march-april"
1503960366,"2016-03-19 07:00:00",53,"march-april"
1503960366,"2016-03-19 08:00:00",538,"march-april"
1503960366,"2016-03-19 09:00:00",3454,"march-april"
1503960366,"2016-03-19 10:00:00",2106,"march-april"
1503960366,"2016-03-19 11:00:00",1307,"march-april"
1503960366,"2016-03-19 12:00:00",909,"march-april"
1503960366,"2016-03-19 13:00:00",303,"march-april"
1503960366,"2016-03-19 14:00:00",150,"march-april"
1503960366,"2016-03-19 15:00:00",123,"march-april"
1503960366,"2016-03-19 16:00:00",127,"march-april"
1503960366,"2016-03-19 17:00:00",198,"march-april"
1503960366,"2016-03-19 18:00:00",50,"march-april"
1503960366,"2016-03-19 19:00:00",533,"march-april"
1503960366,"2016-03-19 20:00:00",433,"march-april"
1503960366,"2016-03-19 21:00:00",75,"march-april"
1503960366,"2016-03-19 22:00:00",850,"march-april"
1503960366,"2016-03-19 23:00:00",4067,"march-april"
1503960366,"2016-03-20 00:00:00",115,"march-april"
1503960366,"2016-03-20 01:00:00",0,"march-april"
1503960366,"2016-03-20 02:00:00",0,"march-april"
1503960366,"2016-03-20 03:00:00",0,"march-april"
1503960366,"2016-03-20 04:00:00",0,"march-april"
1503960366,"2016-03-20 05:00:00",0,"march-april"
1503960366,"2016-03-20 06:00:00",0,"march-april"
1503960366,"2016-03-20 07:00:00",0,"march-april"
1503960366,"2016-03-20 08:00:00",0,"march-april"
1503960366,"2016-03-20 09:00:00",1109,"march-april"
1503960366,"2016-03-20 10:00:00",5000,"march-april"
1503960366,"2016-03-20 11:00:00",1117,"march-april"
1503960366,"2016-03-20 12:00:00",312,"march-april"
1503960366,"2016-03-20 13:00:00",343,"march-april"
1503960366,"2016-03-20 14:00:00",578,"march-april"
1503960366,"2016-03-20 15:00:00",876,"march-april"
1503960366,"2016-03-20 16:00:00",1373,"march-april"
1503960366,"2016-03-20 17:00:00",1841,"march-april"
1503960366,"2016-03-20 18:00:00",638,"march-april"
1503960366,"2016-03-20 19:00:00",718,"march-april"
1503960366,"2016-03-20 20:00:00",421,"march-april"
1503960366,"2016-03-20 21:00:00",78,"march-april"
1503960366,"2016-03-20 22:00:00",57,"march-april"
1503960366,"2016-03-20 23:00:00",552,"march-april"
1503960366,"2016-03-21 00:00:00",97,"march-april"
1503960366,"2016-03-21 01:00:00",0,"march-april"
1503960366,"2016-03-21 02:00:00",0,"march-april"
1503960366,"2016-03-21 03:00:00",11,"march-april"
1503960366,"2016-03-21 04:00:00",0,"march-april"
1503960366,"2016-03-21 05:00:00",0,"march-april"
1503960366,"2016-03-21 06:00:00",0,"march-april"
1503960366,"2016-03-21 07:00:00",55,"march-april"
1503960366,"2016-03-21 08:00:00",1114,"march-april"
1503960366,"2016-03-21 09:00:00",1113,"march-april"
1503960366,"2016-03-21 10:00:00",308,"march-april"
1503960366,"2016-03-21 11:00:00",467,"march-april"
1503960366,"2016-03-21 12:00:00",1884,"march-april"
1503960366,"2016-03-21 13:00:00",184,"march-april"
1503960366,"2016-03-21 14:00:00",298,"march-april"
1503960366,"2016-03-21 15:00:00",497,"march-april"
1503960366,"2016-03-21 16:00:00",355,"march-april"
1503960366,"2016-03-21 17:00:00",588,"march-april"
1503960366,"2016-03-21 18:00:00",1564,"march-april"
1503960366,"2016-03-21 19:00:00",396,"march-april"
1503960366,"2016-03-21 20:00:00",99,"march-april"
1503960366,"2016-03-21 21:00:00",172,"march-april"
1503960366,"2016-03-21 22:00:00",371,"march-april"
1503960366,"2016-03-21 23:00:00",447,"march-april"
1503960366,"2016-03-22 00:00:00",0,"march-april"
1503960366,"2016-03-22 01:00:00",0,"march-april"
1503960366,"2016-03-22 02:00:00",0,"march-april"
1503960366,"2016-03-22 03:00:00",0,"march-april"
1503960366,"2016-03-22 04:00:00",0,"march-april"
1503960366,"2016-03-22 05:00:00",0,"march-april"
1503960366,"2016-03-22 06:00:00",0,"march-april"
1503960366,"2016-03-22 07:00:00",0,"march-april"
1503960366,"2016-03-22 08:00:00",34,"march-april"
1503960366,"2016-03-22 09:00:00",1732,"march-april"
1503960366,"2016-03-22 10:00:00",497,"march-april"
1503960366,"2016-03-22 11:00:00",296,"march-april"
1503960366,"2016-03-22 12:00:00",322,"march-april"
1503960366,"2016-03-22 13:00:00",657,"march-april"
1503960366,"2016-03-22 14:00:00",1657,"march-april"
1503960366,"2016-03-22 15:00:00",455,"march-april"
1503960366,"2016-03-22 16:00:00",278,"march-april"
1503960366,"2016-03-22 17:00:00",953,"march-april"
1503960366,"2016-03-22 18:00:00",1123,"march-april"
1503960366,"2016-03-22 19:00:00",1479,"march-april"
1503960366,"2016-03-22 20:00:00",366,"march-april"
1503960366,"2016-03-22 21:00:00",349,"march-april"
1503960366,"2016-03-22 22:00:00",4587,"march-april"
1503960366,"2016-03-22 23:00:00",351,"march-april"
1503960366,"2016-03-23 00:00:00",14,"march-april"
1503960366,"2016-03-23 01:00:00",50,"march-april"
1503960366,"2016-03-23 02:00:00",29,"march-april"
1503960366,"2016-03-23 03:00:00",0,"march-april"
1503960366,"2016-03-23 04:00:00",0,"march-april"
1503960366,"2016-03-23 05:00:00",0,"march-april"
1503960366,"2016-03-23 06:00:00",0,"march-april"
1503960366,"2016-03-23 07:00:00",82,"march-april"
1503960366,"2016-03-23 08:00:00",534,"march-april"
1503960366,"2016-03-23 09:00:00",1623,"march-april"
1503960366,"2016-03-23 10:00:00",504,"march-april"
1503960366,"2016-03-23 11:00:00",414,"march-april"
1503960366,"2016-03-23 12:00:00",411,"march-april"
1503960366,"2016-03-23 13:00:00",1226,"march-april"
1503960366,"2016-03-23 14:00:00",2674,"march-april"
1503960366,"2016-03-23 15:00:00",236,"march-april"
1503960366,"2016-03-23 16:00:00",383,"march-april"
1503960366,"2016-03-23 17:00:00",411,"march-april"
1503960366,"2016-03-23 18:00:00",325,"march-april"
1503960366,"2016-03-23 19:00:00",2937,"march-april"
1503960366,"2016-03-23 20:00:00",1086,"march-april"
1503960366,"2016-03-23 21:00:00",61,"march-april"
1503960366,"2016-03-23 22:00:00",119,"march-april"
1503960366,"2016-03-23 23:00:00",413,"march-april"
1503960366,"2016-03-24 00:00:00",311,"march-april"
1503960366,"2016-03-24 01:00:00",0,"march-april"
1503960366,"2016-03-24 02:00:00",7,"march-april"
1503960366,"2016-03-24 03:00:00",8,"march-april"
1503960366,"2016-03-24 04:00:00",0,"march-april"
1503960366,"2016-03-24 05:00:00",8,"march-april"
1503960366,"2016-03-24 06:00:00",0,"march-april"
1503960366,"2016-03-24 07:00:00",29,"march-april"
1503960366,"2016-03-24 08:00:00",553,"march-april"
1503960366,"2016-03-24 09:00:00",2041,"march-april"
1503960366,"2016-03-24 10:00:00",90,"march-april"
1503960366,"2016-03-24 11:00:00",63,"march-april"
1503960366,"2016-03-24 12:00:00",1180,"march-april"
1503960366,"2016-03-24 13:00:00",770,"march-april"
1503960366,"2016-03-24 14:00:00",1320,"march-april"
1503960366,"2016-03-24 15:00:00",504,"march-april"
1503960366,"2016-03-24 16:00:00",210,"march-april"
1503960366,"2016-03-24 17:00:00",526,"march-april"
1503960366,"2016-03-24 18:00:00",66,"march-april"
1503960366,"2016-03-24 19:00:00",75,"march-april"
1503960366,"2016-03-24 20:00:00",3858,"march-april"
1503960366,"2016-03-24 21:00:00",1090,"march-april"
1503960366,"2016-03-24 22:00:00",185,"march-april"
1503960366,"2016-03-24 23:00:00",294,"march-april"
1503960366,"2016-03-25 00:00:00",42,"march-april"
1503960366,"2016-03-25 01:00:00",126,"march-april"
1503960366,"2016-03-25 02:00:00",5,"march-april"
1503960366,"2016-03-25 03:00:00",7,"march-april"
1503960366,"2016-03-25 04:00:00",0,"march-april"
1503960366,"2016-03-25 05:00:00",0,"march-april"
1503960366,"2016-03-25 06:00:00",0,"march-april"
1503960366,"2016-03-25 07:00:00",40,"march-april"
1503960366,"2016-03-25 08:00:00",565,"march-april"
1503960366,"2016-03-25 09:00:00",1545,"march-april"
1503960366,"2016-03-25 10:00:00",309,"march-april"
1503960366,"2016-03-25 11:00:00",1226,"march-april"
1503960366,"2016-03-25 12:00:00",78,"march-april"
1503960366,"2016-03-25 13:00:00",187,"march-april"
1503960366,"2016-03-25 14:00:00",419,"march-april"
1503960366,"2016-03-25 15:00:00",0,"march-april"
1503960366,"2016-03-25 16:00:00",427,"march-april"
1503960366,"2016-03-25 17:00:00",435,"march-april"
1503960366,"2016-03-25 18:00:00",238,"march-april"
1503960366,"2016-03-25 19:00:00",135,"march-april"
1503960366,"2016-03-25 20:00:00",2590,"march-april"
1503960366,"2016-03-25 21:00:00",2390,"march-april"
1503960366,"2016-03-25 22:00:00",151,"march-april"
1503960366,"2016-03-25 23:00:00",89,"march-april"
1503960366,"2016-03-26 00:00:00",16,"march-april"
1503960366,"2016-03-26 01:00:00",179,"march-april"
1503960366,"2016-03-26 02:00:00",0,"march-april"
1503960366,"2016-03-26 03:00:00",19,"march-april"
1503960366,"2016-03-26 04:00:00",0,"march-april"
1503960366,"2016-03-26 05:00:00",0,"march-april"
1503960366,"2016-03-26 06:00:00",0,"march-april"
1503960366,"2016-03-26 07:00:00",0,"march-april"
1503960366,"2016-03-26 08:00:00",0,"march-april"
1503960366,"2016-03-26 09:00:00",69,"march-april"
1503960366,"2016-03-26 10:00:00",394,"march-april"
1503960366,"2016-03-26 11:00:00",145,"march-april"
1503960366,"2016-03-26 12:00:00",152,"march-april"
1503960366,"2016-03-26 13:00:00",393,"march-april"
1503960366,"2016-03-26 14:00:00",759,"march-april"
1503960366,"2016-03-26 15:00:00",828,"march-april"
1503960366,"2016-03-26 16:00:00",5564,"march-april"
1503960366,"2016-03-26 17:00:00",3053,"march-april"
1503960366,"2016-03-26 18:00:00",3785,"march-april"
1503960366,"2016-03-26 19:00:00",323,"march-april"
1503960366,"2016-03-26 20:00:00",207,"march-april"
1503960366,"2016-03-26 21:00:00",252,"march-april"
1503960366,"2016-03-26 22:00:00",785,"march-april"
1503960366,"2016-03-26 23:00:00",686,"march-april"
1503960366,"2016-03-27 00:00:00",57,"march-april"
1503960366,"2016-03-27 01:00:00",121,"march-april"
1503960366,"2016-03-27 02:00:00",0,"march-april"
1503960366,"2016-03-27 03:00:00",0,"march-april"
1503960366,"2016-03-27 04:00:00",0,"march-april"
1503960366,"2016-03-27 05:00:00",0,"march-april"
1503960366,"2016-03-27 06:00:00",9,"march-april"
1503960366,"2016-03-27 07:00:00",8,"march-april"
1503960366,"2016-03-27 08:00:00",0,"march-april"
1503960366,"2016-03-27 09:00:00",393,"march-april"
1503960366,"2016-03-27 10:00:00",5033,"march-april"
1503960366,"2016-03-27 11:00:00",321,"march-april"
1503960366,"2016-03-27 12:00:00",100,"march-april"
1503960366,"2016-03-27 13:00:00",684,"march-april"
1503960366,"2016-03-27 14:00:00",652,"march-april"
1503960366,"2016-03-27 15:00:00",255,"march-april"
1503960366,"2016-03-27 16:00:00",99,"march-april"
1503960366,"2016-03-27 17:00:00",214,"march-april"
1503960366,"2016-03-27 18:00:00",540,"march-april"
1503960366,"2016-03-27 19:00:00",2887,"march-april"
1503960366,"2016-03-27 20:00:00",372,"march-april"
1503960366,"2016-03-27 21:00:00",461,"march-april"
1503960366,"2016-03-27 22:00:00",367,"march-april"
1503960366,"2016-03-27 23:00:00",163,"march-april"
1503960366,"2016-03-28 00:00:00",152,"march-april"
1503960366,"2016-03-28 01:00:00",16,"march-april"
1503960366,"2016-03-28 02:00:00",0,"march-april"
1503960366,"2016-03-28 03:00:00",0,"march-april"
1503960366,"2016-03-28 04:00:00",0,"march-april"
1503960366,"2016-03-28 05:00:00",0,"march-april"
1503960366,"2016-03-28 06:00:00",0,"march-april"
1503960366,"2016-03-28 07:00:00",0,"march-april"
1503960366,"2016-03-28 08:00:00",91,"march-april"
1503960366,"2016-03-28 09:00:00",1801,"march-april"
1503960366,"2016-03-28 10:00:00",209,"march-april"
1503960366,"2016-03-28 11:00:00",242,"march-april"
1503960366,"2016-03-28 12:00:00",198,"march-april"
1503960366,"2016-03-28 13:00:00",3422,"march-april"
1503960366,"2016-03-28 14:00:00",1116,"march-april"
1503960366,"2016-03-28 15:00:00",281,"march-april"
1503960366,"2016-03-28 16:00:00",228,"march-april"
1503960366,"2016-03-28 17:00:00",135,"march-april"
1503960366,"2016-03-28 18:00:00",252,"march-april"
1503960366,"2016-03-28 19:00:00",3298,"march-april"
1503960366,"2016-03-28 20:00:00",872,"march-april"
1503960366,"2016-03-28 21:00:00",81,"march-april"
1503960366,"2016-03-28 22:00:00",196,"march-april"
1503960366,"2016-03-28 23:00:00",641,"march-april"
1503960366,"2016-03-29 00:00:00",0,"march-april"
1503960366,"2016-03-29 01:00:00",242,"march-april"
1503960366,"2016-03-29 02:00:00",15,"march-april"
1503960366,"2016-03-29 03:00:00",0,"march-april"
1503960366,"2016-03-29 04:00:00",0,"march-april"
1503960366,"2016-03-29 05:00:00",6,"march-april"
1503960366,"2016-03-29 06:00:00",21,"march-april"
1503960366,"2016-03-29 07:00:00",53,"march-april"
1503960366,"2016-03-29 08:00:00",185,"march-april"
1503960366,"2016-03-29 09:00:00",1580,"march-april"
1503960366,"2016-03-29 10:00:00",446,"march-april"
1503960366,"2016-03-29 11:00:00",869,"march-april"
1503960366,"2016-03-29 12:00:00",147,"march-april"
1503960366,"2016-03-29 13:00:00",1158,"march-april"
1503960366,"2016-03-29 14:00:00",243,"march-april"
1503960366,"2016-03-29 15:00:00",413,"march-april"
1503960366,"2016-03-29 16:00:00",348,"march-april"
1503960366,"2016-03-29 17:00:00",288,"march-april"
1503960366,"2016-03-29 18:00:00",535,"march-april"
1503960366,"2016-03-29 19:00:00",198,"march-april"
1503960366,"2016-03-29 20:00:00",3559,"march-april"
1503960366,"2016-03-29 21:00:00",1034,"march-april"
1503960366,"2016-03-29 22:00:00",0,"march-april"
1503960366,"2016-03-29 23:00:00",701,"march-april"
1503960366,"2016-03-30 00:00:00",0,"march-april"
1503960366,"2016-03-30 01:00:00",0,"march-april"
1503960366,"2016-03-30 02:00:00",0,"march-april"
1503960366,"2016-03-30 03:00:00",0,"march-april"
1503960366,"2016-03-30 04:00:00",0,"march-april"
1503960366,"2016-03-30 05:00:00",0,"march-april"
1503960366,"2016-03-30 06:00:00",0,"march-april"
1503960366,"2016-03-30 07:00:00",0,"march-april"
1503960366,"2016-03-30 08:00:00",15,"march-april"
1503960366,"2016-03-30 09:00:00",1379,"march-april"
1503960366,"2016-03-30 10:00:00",233,"march-april"
1503960366,"2016-03-30 11:00:00",475,"march-april"
1503960366,"2016-03-30 12:00:00",1979,"march-april"
1503960366,"2016-03-30 13:00:00",26,"march-april"
1503960366,"2016-03-30 14:00:00",443,"march-april"
1503960366,"2016-03-30 15:00:00",209,"march-april"
1503960366,"2016-03-30 16:00:00",67,"march-april"
1503960366,"2016-03-30 17:00:00",35,"march-april"
1503960366,"2016-03-30 18:00:00",2696,"march-april"
1503960366,"2016-03-30 19:00:00",1299,"march-april"
1503960366,"2016-03-30 20:00:00",996,"march-april"
1503960366,"2016-03-30 21:00:00",570,"march-april"
1503960366,"2016-03-30 22:00:00",38,"march-april"
1503960366,"2016-03-30 23:00:00",510,"march-april"
1503960366,"2016-03-31 00:00:00",154,"march-april"
1503960366,"2016-03-31 01:00:00",0,"march-april"
1503960366,"2016-03-31 02:00:00",129,"march-april"
1503960366,"2016-03-31 03:00:00",0,"march-april"
1503960366,"2016-03-31 04:00:00",0,"march-april"
1503960366,"2016-03-31 05:00:00",0,"march-april"
1503960366,"2016-03-31 06:00:00",0,"march-april"
1503960366,"2016-03-31 07:00:00",34,"march-april"
1503960366,"2016-03-31 08:00:00",164,"march-april"
1503960366,"2016-03-31 09:00:00",1539,"march-april"
1503960366,"2016-03-31 10:00:00",314,"march-april"
1503960366,"2016-03-31 11:00:00",119,"march-april"
1503960366,"2016-03-31 12:00:00",358,"march-april"
1503960366,"2016-03-31 13:00:00",460,"march-april"
1503960366,"2016-03-31 14:00:00",796,"march-april"
1503960366,"2016-03-31 15:00:00",988,"march-april"
1503960366,"2016-03-31 16:00:00",135,"march-april"
1503960366,"2016-03-31 17:00:00",145,"march-april"
1503960366,"2016-03-31 18:00:00",198,"march-april"
1503960366,"2016-03-31 19:00:00",231,"march-april"
1503960366,"2016-03-31 20:00:00",1497,"march-april"
1503960366,"2016-03-31 21:00:00",1011,"march-april"
1503960366,"2016-03-31 22:00:00",307,"march-april"
1503960366,"2016-03-31 23:00:00",3617,"march-april"
1503960366,"2016-04-01 00:00:00",82,"march-april"
1503960366,"2016-04-01 01:00:00",7,"march-april"
1503960366,"2016-04-01 02:00:00",41,"march-april"
1503960366,"2016-04-01 03:00:00",106,"march-april"
1503960366,"2016-04-01 04:00:00",0,"march-april"
1503960366,"2016-04-01 05:00:00",0,"march-april"
1503960366,"2016-04-01 06:00:00",0,"march-april"
1503960366,"2016-04-01 07:00:00",43,"march-april"
1503960366,"2016-04-01 08:00:00",251,"march-april"
1503960366,"2016-04-01 09:00:00",194,"march-april"
1503960366,"2016-04-01 10:00:00",104,"march-april"
1503960366,"2016-04-01 11:00:00",30,"march-april"
1503960366,"2016-04-01 12:00:00",33,"march-april"
1503960366,"2016-04-01 13:00:00",33,"march-april"
1503960366,"2016-04-01 14:00:00",176,"march-april"
1503960366,"2016-04-01 15:00:00",152,"march-april"
1503960366,"2016-04-01 16:00:00",343,"march-april"
1503960366,"2016-04-01 17:00:00",20,"march-april"
1503960366,"2016-04-01 18:00:00",109,"march-april"
1503960366,"2016-04-01 19:00:00",17,"march-april"
1503960366,"2016-04-01 20:00:00",2534,"march-april"
1503960366,"2016-04-01 21:00:00",2861,"march-april"
1503960366,"2016-04-01 22:00:00",3804,"march-april"
1503960366,"2016-04-01 23:00:00",1268,"march-april"
1503960366,"2016-04-02 00:00:00",388,"march-april"
1503960366,"2016-04-02 01:00:00",0,"march-april"
1503960366,"2016-04-02 02:00:00",0,"march-april"
1503960366,"2016-04-02 03:00:00",168,"march-april"
1503960366,"2016-04-02 04:00:00",0,"march-april"
1503960366,"2016-04-02 05:00:00",8,"march-april"
1503960366,"2016-04-02 06:00:00",0,"march-april"
1503960366,"2016-04-02 07:00:00",66,"march-april"
1503960366,"2016-04-02 08:00:00",26,"march-april"
